1	10	9	10	9	10	9	9	9	9	9	9
1	10	9	10	10	10	9	9	9	9	9	9
10	10	10	10	10	10	10	10	10	9	9	9
10	1	10	1	10	1	10	10	10	10	10	10
10	2	10	1	1	1	10	10	10	10	10	10
9	2	2	2	2	1	1	1	1	10	10	10
9	2	2	2	2	2	1	1	1	1	1	1
8	2	2	2	2	2	2	2	2	1	2	2
8	2	2	2	2	2	2	2	2	2	2	2
7	3	2	2	2	2	2	2	2	2	2	2
7	3	3	3	3	2	2	2	2	2	2	2
7	3	3	3	3	3	2	2	2	2	2	2
6	4	3	3	3	3	3	3	3	2	3	3
6	4	4	4	4	3	3	3	3	3	3	3
6	4	4	4	4	4	3	3	3	3	3	3
5	5	4	4	4	4	4	4	4	3	4	4
5	5	5	5	5	4	4	4	4	4	4	4
5	5	5	5	5	5	4	4	4	4	4	4
4	6	5	5	5	5	5	5	5	4	5	5
4	6	6	6	6	5	5	5	5	5	5	5
4	6	6	6	6	6	5	5	5	5	5	5
3	7	6	6	6	6	6	6	6	5	6	6
3	7	7	7	7	6	6	6	6	6	6	6
3	7	7	7	7	7	6	6	6	6	6	6
2	8	7	7	7	7	7	7	7	6	7	7
2	8	8	8	8	7	7	7	7	7	7	7
2	8	8	8	8	8	7	7	7	7	7	7
1	9	8	8	8	8	8	8	8	7	8	8
1	9	9	9	9	8	8	8	8	8	8	8
1		9	9	9	9	8	8	8	8	8	8
10		9		9		9	9		8		9
