9	10	1	10	1	1	1	1	1	1	1	1
10	10	10	10	10	10	1	1	1	1	1	1
10	10	10	10	10	10	10	1	1	1	10	10
10	9	10	9	10	10	10	10	10	10	10	10
10	9	10	9	10	10	10	10	10	10	10	10
2	9	9	9	9	9	10	10	10	10	10	10
2	8	9	9	9	9	9	10	10	10	9	9
2	8	8	8	9	9	9	9	9	9	9	9
2	8	8	8	8	8	9	9	9	9	8	8
2	7	8	8	8	8	9	9	8	8	8	8
3	7	7	7	8	8	8	8	8	8	8	8
3	7	7	7	7	7	8	8	8	8	7	7
3	6	7	7	7	7	8	8	7	7	7	7
4	6	6	6	7	7	7	7	7	7	7	7
4	6	6	6	6	6	7	7	7	7	6	6
4	5	6	6	6	6	7	7	6	6	6	6
5	5	5	5	6	6	6	6	6	6	6	6
5	5	5	5	5	5	6	6	6	6	5	5
5	4	5	5	5	5	6	6	5	5	5	5
6	4	4	4	5	5	5	5	5	5	5	5
6	4	4	4	4	4	5	5	5	5	4	4
6	3	4	4	4	4	5	5	4	4	4	4
7	3	3	3	4	4	4	4	4	4	4	4
7	3	3	3	3	3	4	4	4	4	3	3
7	2	3	3	3	3	4	4	3	3	3	3
8	2	2	2	3	3	3	3	3	3	3	3
8	2	2	2	2	2	3	3	3	3	2	2
8	1	2	2	2	2	3	3	2	2	2	2
9	1	1	1	2	2	2	2	2	2	2	2
9		1	1	1	1	2	2	2	2	1	1
9		1		1		2	2		1		1
